estdagbladet20110316.2.1	<p dir=""auto"">A</p><p dir=""auto"">EESTI PÄEVALEHT</p><p dir=""auto"">| ESTNISKA DAGBLADET</p><p dir=""auto"">Kolmapäev, 16. märts 2011 Nr. 11 (6712)</p>
estdagbladet20110316.2.2	<p dir=""auto"">GÖTEBORGI EESTI SEGAKOOR</p><p dir=""auto"">GÖTEBORGI EESTI SEGAKOOR esines EV aastapäeva aktusel Christinae kirikus hoogsa laulu ja tantsuga EV aastapäeva pidustustest Göteborgis saate lugeda lk 10. (Foto: Üllar Ollin)</p>
estdagbladet20110316.2.3	<p dir=""auto"">Eesti oli majanduskasvult Rootsi järel teisel kohal</p><p dir=""auto"">Eurostati andmetel kasvas Euroopa Liidus eelmise aasta viimases kvartalis kõige kiiremas tempos Rootsi majandus, Eesti jäi auväärsele teisele kohale.</p><p dir=""auto"">Rootsi majandus kasvas aasta viimases kvartalis aastatagusega võrreldes 7,2 protsenti, Eestis 6,6 protsenti. Soome jäi 5-protsendilise kasvuga kolmandaks.</p><p dir=""auto"">Eurotsooni majandus kasvas mullu viimases kvartalis aastatagusega ajaga võrreldes keskmiselt 2 protsenti, Euroopa Liidu 27-liikmesriigi keskmine majanduskasv oli 2,1 protsenti. Kvartaalses kasvus oli aga Eesti esimesel kohal. Võrreldes kolmanda kvartaliga kasvas Eesti sisemajanduse kogutoodang (SKT) 2,3 protsenti. Järgnesid Leedu 1,8-protsen-dilise ning Bulgaaria ja Soome 1,7-protsendilise kasvuga.</p><p dir=""auto"">Suurima languse tegi aasta baasil Kreeka majandus, kus sisemajanduse kogutoodang vähenes aasta varasemaga võrreldes 6,6 protsenti. Miinuspoolele jäi aastases võrdluses ka Rumeenia (-0,6 protsenti). Kvartalitulemuses jäid miinuspoolele Kreeka (-1,4 protsenti), Suurbritannia (-0,6 protsenti), Taani (-0,4 protsenti) ja Portugal (-0,3 protsenti).</p>
estdagbladet20110316.2.4	<p dir=""auto"">Eestis tõusevad hinnad Euroopa keskmisest kaks korda kiiremini</p><p dir=""auto"">Kui Eestis kerkisid hinnad veebruaris aastatagusega võrreldes 5,7 protsenti ja võrdluses 2011. aasta jaanuariga 0,6 protsenti, siis Euroopa Liidus oli hinnatõus aastases võrdluses keskmiselt 2,4 protsenti.</p><p dir=""auto"">Palkade olulist kasvu pole aga lähiajal tõenäoliselt oodata. Aastane hinnatõus johtub Arengufondi majandus-</p><p dir=""auto"">eksperdi Heido Vitsuri sõnul ennekõike madalast võrdlusbaasist. Muret teeb talle aga kuine tõus, mis vaatamata kõrgele võrdlusbaasile ei taha peatuda. Üheks põhjuseks võib siin olla Eesti kiire majanduskasv. See selgitaks, miks siinne hinnatõus on olnud karmim kui Lätis ja Leedus. Kuid hinnad on kerkinud ka nobedamalt kui Rootsis, kus näiteks toiduained on aastaga kallinenud ainult 0,9 protsenti.</p>
estdagbladet20110316.2.5	<p dir=""auto"">Rootsi on tõusnud Eesti olulisimaks impordipartneriks</p><p dir=""auto"">Eesti partnerriikide seas oli tänavu jaanuaris nii ekspordis kui ka impordis esikohal Rootsi, kusjuures aasta tagasi oli Rootsi impordipartnerina alles kuuendal kohal.</p><p dir=""auto"">Ekspordi sihtriikide seas oli esikohal Rootsi (viiendik Eesti koguekspordist), järgnesid Soome (15 protsenti) ja Venemaa (8 protsenti).</p><p dir=""auto"">Võrreldes 2010. aasta jaanuariga suurenes kõige enam eksport Rootsi (kaks korda), Soome (33 protsenti) ja Ameerika Ühendriikidesse (kuus korda). Rootsi ja Soome eksporditi kõige enam masinaid ja seadmeid ning Venemaale toidukaupu ja põllumajandussaadusi.</p><p dir=""auto"">Rootsist ja Soomest imporditi peamiselt masinaid ja seadmeid, Lätist mineraalseid tooteid ning Kanadast transpordivahendeid (lennukid).</p>
estdagbladet20110316.2.6	<p dir=""auto"">Nobeli laureaat esineb Eestis</p><p dir=""auto"">Nobeli preemia laureaat kirjanik Herta Müller külastab oma Baltikumi ringreisi raames Goethe Instituudi kutsel ka Tallinna ja esineb tasuta Eesti Rahvusraamatukogu suures saalis 16. märtsil kell 16.</p><p dir=""auto"">Autor loeb katkendeid oma teosest “Atemschaukel” (“Hingamise kiige”) ning toimub vestlus koos Viivi Luige ning Toomas Hiioga. Vestlust juhib Eero Raun. Publikul on võimalik autorile ka omapoolseid küsimusi esitada. Üritus on kõigile tasuta!</p>
estdagbladet20110316.2.7	<p dir=""auto"">SEOSES EMAKEELEPÄEVA KONVERENTSIGA</p><p dir=""auto"">SEOSES EMAKEELEPÄEVA KONVERENTSIGA 12. märtsil Eesti Majas Stockholmis anti ka üle B.G.Forseliuse teenetemärgid teenekatele rootsieestlastest kultuuri- ja haridustegelastele. Teenetemärkide üleandjaks oli E.V Suursaatkonnast Marje Luup (vasakult) ja vastuvõtjad Eesti Koolist olid Reet Estra, Luule Vaks Maandi, Anne-Mari Asker Badersten, Jaan Seim ja Marje Tui. (Foto: Mart Maandi)</p>
estdagbladet20110316.2.8	<p dir=""auto"">EESTI PÄEVALEHT</p>
estdagbladet20110316.2.8.1	<p dir=""auto"">Uusvaesed Eestis</p><p dir=""auto"">Uuringukeskus Klaster on Eestis läbi viinud küsitluse, mille peamiseks teemaks: “Kuidas hindate praegu oma majanduslikku toimetulekut?” Kolm inimest neljast peab oma rahalist seisu kas kehvaks või suisa väga raskeks. Kuid samas mainitakse kohe juurde: “Seis on keeruline, kuid on raskemgi olnud.”</p><p dir=""auto"">Oma majanduslikku seisu hindab heaks või veel paremaks kõigest 24,1 % küsitletutest, seega on rahaliselt pingeline seis koguni 75,9 % vastanutest. Veidi optimistlikumad on toimetuleku suhtes 51-aastased ja eakamad. Neil on olemas oma väike, kuid siiski regulaarne sissetulek - pension. Tihti on vanemad inimesed vabad ka laenudest ning nii muretsetaksegi pigem oma laste ja lastelaste pärast — küll meie vanad ikka kuidagi hakkama saame.</p><p dir=""auto"">Kui uuritakse tarbijabaromeetrit, siis seal on väitnud vaid 1,5 % vastanutest, et nad säästavad palju ja 37 %, et säästavad natukene. Ots otsaga saavad iga kuu kokku 49,6 %, varasemaid sääste kasutavad 6,9 % ja krooniliselt on võlgu 3,1 % vastanutest. Mitte just kõige optimistlikumad näitajad?</p><p dir=""auto"">Toimetulekutoetuse saajate hulk on majanduskriisi aastatega rohkem kui kahekordistunud. Toetussumma oli tänavu jaanuarini 1000 krooni ehk 64 eurot kuus ja iga teine pereliige ehk näiteks laps sai 800 krooni. Tänavu jaanuarist suurenesid need summad 200 krooni võrra.</p><p dir=""auto"">Eestis on tekkinud uus mõiste — uusvaesed. Need on need inimesed, kellel vahepeal hakkas juba päris hästi minema, aga nüüd on sattunud suurtesse raskustesse võetud liisingute ja laenude tasumisega pärast seda, kui nende firmad kokku kukkusid. Just sellele grupile ei ole praegu mingeid lahendusi mõeldud — näiteks tööturuametis ei pakuta neile midagi. Endisel firmaomanikul ei ole ju mõtet minna õppima seda, kuidas koostada oma CV-d.</p><p dir=""auto"">Ühed numbrid on registreeritud töötus, kuid hoopis teised küsitlusega saadud andmed. Paljudel inimestel on kadunud motivatsioon end töötukassas registris hoida, kuigi nad tööd ei ole leidnud. Vaid umbes pool registrist kadunutest läheb uuesti tööle, mis ülejäänutest saab, pole kerge tuvastada.</p><p dir=""auto"">Tiina Pintsaar</p>
estdagbladet20110316.2.9	<p dir=""auto"">Vanad elavad tihti vaesuses</p><p dir=""auto"">Peaegu pooled naised (40 protsenti) ja 19 protsenti samaealistest meestest Eestist elavad suhtelises vaesuses. Seda näitab statistikaameti uuring Sotsiaaltrendid, mis analüüsib rahvastiku vananemist ja selle mõju ühiskonnale. See, et naised on erilise löögi all, on tingitud nende keskmiselt tunduvalt pikemast elueast. Vanemad mehed elavad enamasti naisega veel koos, aga naised jõuavad aastaid üksinda elada. 64-aasta-seks saanud üksikinimestest elab 71 protsenti suhtelises vaesuses.</p>
estdagbladet20110316.2.10	<p dir=""auto"">EL uurib Balti riikide raudteefirmasid</p><p dir=""auto"">Euroopa Komisjon teatas 10. märtsil, et uurib ette teatamata Balti riikide raudtee kaubaveofirmasid, kuna neid kahtlustatakse konkurentsiseaduse rikkumises. Komisjon ei täpsustanud, mis riiki see otsus puudutab, kuid Läti meedia teatel on kontrollitud Läti riiklikku raudteefirmat LDz. Samuti teatas Leedu riiklik Lietuvos Gelezinkeliai, et neid kontrolliti. Väidetavalt on komisjon uurimist alustanud Mažeikiu Nafta emafirma PKN Orleni palvel. PKN Orleni nõue on alusetu ja seda on kinnitanud ka Leedu arbitraaž. Eesti Raudtee esindaja kinnitas, et Eesti Raudteed uurimine ei puuduta.</p>
